Country,SpotifyML,SpotifyMLevo%,Youtubeviews,Youtubeviewsevo %,Instagramfollowers,Instagramfollowersevo%,Population
Gabon,0,0,0,0,0,0,2538952
Grenada,0,0,0,0,0,0,117207
Georgia,0,0,0,0,0,0,3807670
French Guiana,0,0,0,0,0,0,308522
Guernsey,0,0,0,0,0,0,64280
Ghana,0,0,0,0,0,0,34427414
Gibraltar,0,0,0,0,0,0,39329
Greenland,0,0,0,0,0,0,55840
Gambia,0,0,0,0,0,0,2759988
Guinea,0,0,0,0,0,0,14754785
Guadeloupe,0,0,0,0,0,0,375106
Equatorial Guinea,0,0,0,0,0,0,1892516
Greece,0,0,0,0,0,0,10047817
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,18406359
Guam,0,0,0,0,0,0,167777
Guinea-Bissau,0,0,0,0,0,0,2201352
Guyana,0,0,0,0,0,0,831087
Gaza Strip,0,0,0,0,0,0,
Hong Kong,0,0,0,0,0,0,7414909
Heard Island and McDonald Islands,0,0,0,0,0,0,
Honduras,0,0,0,0,0,0,10825703
Croatia,0,0,0,0,0,0,3875325
Haiti,0,0,0,0,0,0,11772557
Hungary,0,0,0,0,0,0,9676135
Israel,0,0,0,0,0,0,9387021
Isle of Man,0,0,0,0,0,0,84160
British Indian Ocean Territory,0,0,0,0,0,0,
Iraq,0,0,0,0,0,0,46042015
Iran,0,0,0,0,0,0,91567738
Iceland,0,0,0,0,0,0,393396
Jersey,0,0,0,0,0,0,103846
Jamaica,0,0,0,0,0,0,2839175
Jordan,0,0,0,0,0,0,11552876
Kenya,0,0,0,0,0,0,56432944
Kyrgyzstan,0,0,0,0,0,0,7186009
Cambodia,0,0,0,0,0,0,17638801
Kiribati,0,0,0,0,0,0,134518
Comoros,0,0,0,0,0,0,866628
Saint Kitts and Nevis,0,0,0,0,0,0,46843
North Korea,0,0,0,0,0,0,26498823
Kuwait,0,0,0,0,0,0,4934507
Cayman Islands,0,0,0,0,0,0,74457
Laos,0,0,0,0,0,0,7769819
Lebanon,0,0,0,0,0,0,5805962
Saint Lucia,0,0,0,0,0,0,179744
Liechtenstein,0,0,0,0,0,0,39870
Sri Lanka,0,0,0,0,0,0,23103565
Liberia,0,0,0,0,0,0,5612817
Lesotho,0,0,0,0,0,0,2337423
Lithuania,0,0,0,0,0,0,2859110
Luxembourg,0,0,0,0,0,0,673036
Latvia,0,0,0,0,0,0,1871871
Libya,0,0,0,0,0,0,7381023
Morocco,0,0,0,0,0,0,38081173
Monaco,0,0,0,0,0,0,38631
Moldova,0,0,0,0,0,0,3034961
Montenegro,0,0,0,0,0,0,638479
Saint Martin,0,0,0,0,0,0,26129
Madagascar,0,0,0,0,0,0,31964956
Marshall Islands,0,0,0,0,0,0,37548
North Macedonia,0,0,0,0,0,0,1823009
Mali,0,0,0,0,0,0,24478595
Mongolia,0,0,0,0,0,0,3475540
Macau,0,0,0,0,0,0,720262
Northern Mariana Islands,0,0,0,0,0,0,44278
Martinique,0,0,0,0,0,0,343195
Mauritania,0,0,0,0,0,0,5169395
Montserrat,0,0,0,0,0,0,4389
Malta,0,0,0,0,0,0,539607
Mauritius,0,0,0,0,0,0,1271169
Maldives,0,0,0,0,0,0,527799
Malawi,0,0,0,0,0,0,21655286
Mozambique,0,0,0,0,0,0,34631766
Namibia,0,0,0,0,0,0,3030131
New Caledonia,0,0,0,0,0,0,292639
Niger,0,0,0,0,0,0,27032412
Norfolk Island,0,0,0,0,0,0,
Nigeria,0,0,0,0,0,0,232679478
Nicaragua,0,0,0,0,0,0,6916140
Netherlands,0,0,0,0,0,0,18228742
Norway,0,0,0,0,0,0,5576660
Nepal,0,0,0,0,0,0,29651054
Nauru,0,0,0,0,0,0,11947
Niue,0,0,0,0,0,0,1819
New Zealand,0,0,0,0,0,0,5213944
Oman,0,0,0,0,0,0,5281538
Panama,0,0,0,0,0,0,4515577
French Polynesia,0,0,0,0,0,0,281807
Papua New Guinea,0,0,0,0,0,0,10576502
Pakistan,0,0,0,0,0,0,251269164
Poland,0,0,0,0,0,0,38539201
Saint Pierre and Miquelon,0,0,0,0,0,0,5628
Pitcairn Islands,0,0,0,0,0,0,
Puerto Rico,0,0,0,0,0,0,3242204
Palestine,0,0,0,0,0,0,5495443
Portugal,0,0,0,0,0,0,10425292
Palau,0,0,0,0,0,0,17695
Paraguay,0,0,0,0,0,0,6929153
Qatar,0,0,0,0,0,0,3048423
Reunion,0,0,0,0,0,0,878591
Romania,0,0,0,0,0,0,19015088
Serbia,0,0,0,0,0,0,6736216
Rwanda,0,0,0,0,0,0,14256567
Saudi Arabia,0,0,0,0,0,0,33962757
Solomon Islands,0,0,0,0,0,0,819198
Seychelles,0,0,0,0,0,0,130418
Sudan,0,0,0,0,0,0,50448963
Sweden,0,0,0,0,0,0,10606999
Saint Helena,0,0,0,0,0,0,
Slovenia,0,0,0,0,0,0,2118697
Svalbard and Jan Mayen,0,0,0,0,0,0,
Slovakia,0,0,0,0,0,0,5506760
Sierra Leone,0,0,0,0,0,0,8642022
San Marino,0,0,0,0,0,0,33581
Senegal,0,0,0,0,0,0,18501984
Somalia,0,0,0,0,0,0,19009151
Suriname,0,0,0,0,0,0,634431
South Sudan,0,0,0,0,0,0,11943408
Sao Tome and Principe,0,0,0,0,0,0,235536
El Salvador,0,0,0,0,0,0,6338193
Sint Maarten,0,0,0,0,0,0,43350
Syria,0,0,0,0,0,0,24672760
Eswatini,0,0,0,0,0,0,1242822
Turks and Caicos Islands,0,0,0,0,0,0,46535
Chad,0,0,0,0,0,0,20299123
French Southern Territories,0,0,0,0,0,0,
Togo,0,0,0,0,0,0,9515236
Tajikistan,0,0,0,0,0,0,10590927
Tokelau,0,0,0,0,0,0,2506
Timor-Leste,0,0,0,0,0,0,1400638
Turkmenistan,0,0,0,0,0,0,7494498
Tunisia,0,0,0,0,0,0,12277109
Tonga,0,0,0,0,0,0,104175
Trinidad and Tobago,0,0,0,0,0,0,1507782
Tuvalu,0,0,0,0,0,0,9646
Tanzania,0,0,0,0,0,0,68560157
Uganda,0,0,0,0,0,0,50015092
U.S. Minor Outlying Islands,0,0,0,0,0,0,
Uruguay,0,0,0,0,0,0,3386588
Uzbekistan,0,0,0,0,0,0,36361859
Vatican City,0,0,0,0,0,0,496
Saint Vincent and the Grenadines,0,0,0,0,0,0,100616
Venezuela,0,0,0,0,0,0,28405543
British Virgin Islands,0,0,0,0,0,0,39471
United States Virgin Islands,0,0,0,0,0,0,84905
Vanuatu,0,0,0,0,0,0,327777
Wallis and Futuna,0,0,0,0,0,0,11277
Samoa,0,0,0,0,0,0,218019
Kosovo,0,0,0,0,0,0,
Yemen,0,0,0,0,0,0,40583164
Mayotte,0,0,0,0,0,0,326505
South Africa,0,0,0,0,0,0,64007187
Zambia,0,0,0,0,0,0,21314956
Zimbabwe,0,0,0,0,0,0,16634373
